N,kappa,eps_F,trial,lambda,J,K,err
4,10,0.01,0,2.3001370719281056,135,146,0.0018353237295455458
4,10,0.01,1,1.9240591005463732,114,121,0.0017827035708332165
4,10,0.01,2,1.9943251514526477,118,126,0.0017921414319475497
4,10,0.01,3,1.7014691688716823,102,107,0.0017553786762418064
4,10,0.01,4,2.3091548292292012,135,147,0.001836624101116165
4,10,0.01,5,2.2311941452885504,131,142,0.001825434382733951
4,10,0.01,6,1.9774916995823815,117,125,0.0017898545468275759
4,10,0.01,7,1.935870438548377,115,122,0.0017842690889976409
4,10,0.01,8,2.511700151403839,146,161,0.0018656215707400085
4,10,0.01,9,2.697085980954749,156,173,0.0018915181767740793
4,10,0.01,10,2.5296679674151434,147,162,0.0018681628817266123
4,10,0.01,11,2.089732061439566,123,132,0.0018053451165086878
4,10,0.01,12,2.726690683637919,158,175,0.0018955687086683833
4,10,0.01,13,1.5446293277221206,94,96,0.0017397229703185518
4,10,0.01,14,1.7842005808418056,107,112,0.001764970035306185
4,10,0.01,15,2.199904708764989,129,140,0.00182095830841184
4,10,0.01,16,2.0655308189420274,122,131,0.0018019618050713847
4,10,0.01,17,2.329064207174817,136,148,0.0018394813407106444
4,10,0.01,18,2.11629040734379,125,134,0.0018090805352115292
4,10,0.01,19,1.8804212852929099,112,118,0.0017770008846426397
4,10,0.01,20,1.7840313580642058,107,112,0.001764949673127172
4,10,0.01,21,1.5174201329018246,93,95,0.0017374715312109944
4,10,0.01,22,2.2489161860372073,132,143,0.0018279734019982508
4,10,0.01,23,1.559397781627534,95,97,0.0017410278730637916
4,10,0.01,24,2.7076302672022914,157,174,0.0018929736244573912
4,10,0.01,25,1.7737681688447609,106,111,0.0017637167121970373
4,10,0.01,26,1.4335829976137602,88,89,0.0017313219195741996
4,10,0.01,27,2.4984066872042385,145,160,0.0018637315124002914
4,10,0.01,28,1.9771419359899176,117,125,0.001789807154804662
4,10,0.01,29,1.7412987315202275,104,109,0.0017598945312668438
4,10,0.01,30,2.261188728860833,132,144,0.0018297358592300724
4,10,0.01,31,1.8230193960312848,109,115,0.0017697241723705634
4,10,0.01,32,2.634293737212181,153,169,0.0018828478173285384
4,10,0.01,33,1.5333568481974655,93,96,0.0017387924831136004
4,10,0.01,34,1.467737885086655,90,91,0.0017336155609022157
4,10,0.01,35,1.857506444318336,111,117,0.0017740626953675867
4,10,0.01,36,2.046252646150211,121,129,0.0017992817935347193
4,10,0.01,37,1.5418979540167017,94,96,0.0017394948436473038
4,10,0.01,38,1.7726891416614285,106,111,0.0017635881258062942
4,10,0.01,39,1.4349957203252555,88,89,0.001731403528067428
4,10,0.01,40,1.9208261634222392,114,121,0.0017822761494641823
4,10,0.01,41,1.9785638878283167,117,125,0.0017899998659098313
4,10,0.01,42,2.1237621215354645,125,134,0.001810133868030233
4,10,0.01,43,2.5283695990465302,147,162,0.0018679811926183342
4,10,0.01,44,1.997551855461543,118,126,0.0017925817189698356
4,10,0.01,45,2.2608673955187224,132,144,0.001829689928394812
4,10,0.01,46,1.7408251318599093,104,109,0.0017598398627506518
4,10,0.01,47,2.5804890285067597,150,165,0.0018753172689382064
4,10,0.01,48,1.7555083713097153,105,110,0.0017615535976575922
4,10,0.01,49,2.076721545246543,122,131,0.0018035235426410183
4,10,0.01,50,1.740976352118423,104,109,0.0017598573152862165
4,10,0.01,51,1.8639286068044518,111,117,0.0017748820975282073
4,10,0.01,52,2.500858113652015,146,160,0.001864076158225804
4,10,0.01,53,1.5373116896089418,94,96,0.0017391156143745684
4,10,0.01,54,2.321816410191631,136,148,0.00183844575014362
4,10,0.01,55,1.5243440084407625,93,95,0.0017380158744578318
4,10,0.01,56,1.6097787312209861,97,101,0.0017457785513904907
4,10,0.01,57,1.8375613380017666,110,116,0.0017715409016229623
4,10,0.01,58,1.9939688327201825,118,126,0.0017920928428934201
4,10,0.01,59,1.709352486126704,103,107,0.0017562523201957662
4,10,0.01,60,2.379902510646035,139,152,0.0018467924035944895
4,10,0.01,61,2.4686071963318534,144,158,0.001859489358091391
4,10,0.01,62,1.801811022260883,108,113,0.0017671082321984697
4,10,0.01,63,2.3897815345138556,139,152,0.0018481994547506844
4,10,0.01,64,1.9797756488526717,117,125,0.0017901641748607686
4,10,0.01,65,2.6875937261089957,156,173,0.0018902345553843175
4,10,0.01,66,1.8680699074556277,111,118,0.0017754114392100292
4,10,0.01,67,2.006251701333665,119,127,0.0017937700557740654
4,10,0.01,68,1.8577682397677973,111,117,0.0017740960283675522
4,10,0.01,69,1.94091378142748,115,122,0.0017849410588471023
4,10,0.01,70,2.083572580269279,123,132,0.0018044824346229809
4,10,0.01,71,1.6911581707925916,102,106,0.0017542363713072076
4,10,0.01,72,2.431139629898879,142,155,0.0018541282871795692
4,10,0.01,73,1.6829783425488565,101,105,0.0017533363389194481
4,10,0.01,74,2.0386727119820343,120,129,0.0017982319228416936
4,10,0.01,75,2.2554819942130218,132,143,0.0018289114973143025
4,10,0.01,76,1.9580811532512845,116,123,0.001787238176908245
4,10,0.01,77,1.7736670709846072,106,111,0.0017637046587533679
4,10,0.01,78,1.7796510694716627,107,112,0.0017644237273917703
4,10,0.01,79,2.3196843747510014,136,148,0.001838141029396311
4,10,0.01,80,2.0327269956429053,120,128,0.001797410584140788
4,10,0.01,81,2.438656981285922,142,156,0.001855212699230611
4,10,0.01,82,2.5031934785996803,146,160,0.0018644043395847493
4,10,0.01,83,1.6338030574312237,99,102,0.0017481620406540877
4,10,0.01,84,2.1908590361645706,129,139,0.0018196645776978684
4,10,0.01,85,1.7308501417071565,104,109,0.001758695210796016
4,10,0.01,86,1.9671321252379876,117,124,0.0017884553819452205
4,10,0.01,87,1.984791650899211,117,125,0.0017908451315894617
4,10,0.01,88,1.5251300298384027,93,95,0.001738078395773647
4,10,0.01,89,2.544136829932484,148,163,0.0018702092202875456
4,10,0.01,90,2.7194244953665527,158,175,0.0018945938227288132
4,10,0.01,91,2.065515162638876,122,131,0.0018019596229326452
4,10,0.01,92,2.3740001235233397,139,151,0.0018459358629525882
4,10,0.01,93,1.7584664032026063,105,110,0.0017619006523973925
4,10,0.01,94,1.6731467464375058,101,105,0.0017522841704324668
4,10,0.01,95,1.6979785298660652,102,106,0.0017549823703255413
4,10,0.01,96,2.37589063663737,139,151,0.0018462052726801108
4,10,0.01,97,2.1724756813258597,128,138,0.0018170453622115023
4,10,0.01,98,1.6962908770430691,102,106,0.0017547971369272551
4,10,0.01,99,1.6217845104364277,98,101,0.001746944752980833
4,10,0.001,0,2.293505833668262,165,181,0.0001753230676261325
4,10,0.001,1,1.6240188901122146,121,127,0.00018277513426607296
4,10,0.001,2,1.9179607131853351,140,150,0.0001787802950101915
4,10,0.001,3,1.706514798644661,126,133,0.00018152192970044304
4,10,0.001,4,1.6924061360896996,126,132,0.00018173100060859615
4,10,0.001,5,2.377992833554413,171,188,0.000174775490796513
4,10,0.001,6,1.7773504867415726,131,139,0.00018055160115581744
4,10,0.001,7,2.520606980476736,180,200,0.0001740263464188074
4,10,0.001,8,1.8093568774129971,133,142,0.00018014334292150365
4,10,0.001,9,1.482707755333215,112,116,0.0001850750608376641
4,10,0.001,10,2.001438370377577,146,157,0.00017786375833909185
4,10,0.001,11,2.4465255718614056,175,193,0.00017438081859722038
4,10,0.001,12,2.363304792770202,170,187,0.00017486781106398365
4,10,0.001,13,2.122760050861866,154,167,0.00017668301521465968
4,10,0.001,14,1.6303029046012258,122,127,0.0001826534837743822
4,10,0.001,15,1.7330549369113615,128,136,0.00018118257977954425
4,10,0.001,16,2.2412344161436852,161,177,0.00017570746756896495
4,10,0.001,17,2.435358528104743,174,193,0.00017445074937363615
4,10,0.001,18,2.0387780323971545,148,160,0.0001774789425259782
4,10,0.001,19,1.9689428945273648,144,155,0.00017822950955063724
4,10,0.001,20,2.193429317606772,158,173,0.00017608175540560382
4,10,0.001,21,1.5725934596845306,118,123,0.00018358670608544956
4,10,0.001,22,2.4250536486172822,174,192,0.00017450539447553027
4,10,0.001,23,2.2954732633138115,165,181,0.0001753070327285237
4,10,0.001,24,1.6563926317738698,123,129,0.0001822555464688829
4,10,0.001,25,2.4273354616176133,174,192,0.000174490687106422
4,10,0.001,26,1.897922205287462,139,149,0.00017903412348949205
4,10,0.001,27,1.6193842482295402,121,126,0.00018281408451569197
4,10,0.001,28,1.8882510860402073,138,148,0.00017914291242608708
4,10,0.001,29,1.9612101954644023,143,154,0.00017830466258587192
4,10,0.001,30,1.920119744531012,140,151,0.00017877946743938175
4,10,0.001,31,1.8598458317892246,136,146,0.00017949865859414
4,10,0.001,32,2.1897298297468604,158,172,0.00017609956833059196
4,10,0.001,33,2.6052540367564725,186,207,0.00017367695110726822
4,10,0.001,34,2.2096943152778925,159,174,0.00017594522995412984
4,10,0.001,35,1.6285914466808247,121,127,0.00018268652808358093
4,10,0.001,36,1.5732240597580616,118,123,0.00018357382959618447
4,10,0.001,37,1.7824629434218826,131,140,0.000180505285946804
4,10,0.001,38,2.1171556284544604,153,167,0.00017674290070870832
4,10,0.001,39,2.35879556996414,169,186,0.00017488768468850574
4,10,0.001,40,1.8889235831186117,138,148,0.0001791331582496493
4,10,0.001,41,2.265754554394627,163,179,0.00017552501443741117
4,10,0.001,42,1.5456655569679267,116,121,0.00018402929022550332
4,10,0.001,43,2.3018360805808182,165,182,0.00017526999317473232
4,10,0.001,44,1.8396842184659132,135,144,0.00017973840803237908
4,10,0.001,45,1.6232720132071408,121,127,0.00018278965154030057
4,10,0.001,46,2.2615696299550634,163,178,0.0001755454290583567
4,10,0.001,47,1.9487678143578226,142,153,0.0001784434506374684
4,10,0.001,48,2.025355678060049,147,159,0.0001776171118578633
